Emoji_1,Emoji_2,Emoji_3,Emoji_4,Emoji_5,Emoji_6,Emoji_7,Emoji_8,Emoji_9,Emoji_10,Emoji_11,Emoji_12,Emoji_13,Emoji_14,Emoji_15,Emoji_16,Emoji_17,Emoji_18,Emoji_19,Emoji_20
1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0
1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1
0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1
0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0
1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0
1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1
1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0
0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1
0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0
1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0
1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1
1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1
0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0
1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1
0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0
1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0
1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0
1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0
1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1
0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0
0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1
1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0
0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1
1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0
1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0
1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0
1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1
1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0
1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0
0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0
1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1
0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1
1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0
0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0
1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0
1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1
0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1
1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0
0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0
1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0
1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1
0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0
0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1
1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0
0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0
1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0
1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1
0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0
