Emoji_0,Emoji_1,Emoji_2,Emoji_3,Emoji_4,Emoji_5,Emoji_6,Emoji_7,Emoji_8,Emoji_9,Emoji_10,Emoji_11,Emoji_12,Emoji_13,Emoji_14,Emoji_15,Emoji_16,Emoji_17,Emoji_18,Emoji_19,Emoji_20,Emoji_21,Emoji_22,Emoji_23,Emoji_24,Emoji_25,Emoji_26,Emoji_27,Emoji_28,Emoji_29,Emoji_30,Emoji_31,Emoji_32,Emoji_33,Emoji_34,Emoji_35,Emoji_36,Emoji_37,Emoji_38,Emoji_39,Emoji_40,Emoji_41,Emoji_42,Emoji_43,Emoji_44,Emoji_45,Emoji_46,Emoji_47,Emoji_48,Emoji_49,Emoji_50,Emoji_51,Emoji_52,Emoji_53,Emoji_54,Emoji_55,Emoji_56,Emoji_57,Emoji_58,Emoji_59,Emoji_60,Emoji_61,Emoji_62,Emoji_63
0.58371327,0.34136467,0.21545013,0.30615701,0.126859599,0.2636992,0.35768053,0.16864376,0.111370003,0.25337361,0.34905933,0.250154309,0.80006255,0.2424235,0.19793774,0.139095379,0.146178605,0.32554391,0.045953636,0.60592763,0.47065143,0.24756479,0.57853261,0.030715595,0.1137289947,0.67774945,0.133124561,0.39398355,0.41612619,0.28901151,0.27749815,0.50237014,1.25931682,0.98427254,0.63611132,0.33091453,0.121922638,0.57253383,0.23490242,0.42700207,0.58508778,0.56894585,0.76594697,0.38692708,0.85635874,0.43506182,0.38964899,0.117363498,0.1655866503,0.26861152,0.26617511,0.39164216,0.42843661,0.4291772,0.33554252,0.963225,0.26468585,0.97070214,0.81975898,0.081888841,0.049946352,0.158051712,0.6748815,0.097663508
0.72841059,0.404910152,0.289490865,0.431214527,0.186450085,0.291711598,0.410224638,0.136391012,0.107098272,0.396790421,0.30851034,0.243433985,1.05898548,0.214117913,0.25153385,0.159614248,0.109694265,0.344655435,0.045305071,0.646476549,0.48457199,0.22382091,0.601472058,0.0318126,0.0627389205,0.69900934,0.161438908,0.360108863,0.50139754,0.383985909,0.215233261,0.398547582,0.873759456,0.844540886,0.51416668,0.369219803,0.183405337,0.52892057,0.21713296,0.377861587,0.786785709,0.80131389,1.25357067,0.383654939,0.530609763,0.431779102,0.403361599,0.0929204,0.174704888,0.29073833,0.221827526,0.4195641,0.448637175,0.329558221,0.27207764,0.76135005,0.26769399,0.689380667,0.65437939,0.072338455,0.047070825,0.155866313,0.61199083,0.100659971
0.56866909,0.39760873,0.25364206,0.36561187,0.228425445,0.25319848,0.47870296,0.176875816,0.185852296,0.28022627,0.2970656,1.166828147,0.65645248,0.334119181,0.24653422,0.18162757,0.165412552,0.43697919,0.104042725,0.63391211,0.42493359,0.248848934,0.64090773,0.040447811,0.186486676,0.64657404,0.14805142,0.34619121,0.33303274,0.27380947,0.359036296,0.55853457,0.84169306,0.64900623,0.54357571,0.36762818,0.123198096,0.51924033,0.23812008,0.30505664,0.51313559,0.59680558,0.52956773,0.32492087,0.55229372,0.38742098,0.35981856,0.186309311,0.903326664,0.24975511,0.24522268,0.50656415,0.3345225,0.38379093,0.29356984,0.70110889,0.57973256,0.484042251,0.47537971,0.114025741,0.090497264,0.220026167,0.53288467,0.22911809
0.66061311,0.36747326,0.252582787,0.37690353,0.171765927,0.27540208,0.43691265,0.14871463,0.118415766,0.30351701,0.33526361,0.335978344,0.97892753,0.27532189,0.25816938,0.16068228,0.13610987,0.49718821,0.052558828,0.62566489,0.53565365,0.339217948,0.63337498,0.032591042,0.100115283,0.72226565,0.14408791,0.34277415,0.38630298,0.2894728,0.25086427,0.57329155,0.70206194,1.04967671,0.55328132,0.40604755,0.140211577,0.47805055,0.1924755,0.27695117,0.82298426,0.77887327,0.71464768,0.33259743,0.64529864,0.46052845,0.446194992,0.114644454,0.241178899,0.24853768,0.25472418,0.53415661,0.36625518,0.41828444,0.34241005,0.59592061,0.23419296,0.81923408,0.65170212,0.081693048,0.053919594,0.147292402,0.66043441,0.117360389
0.66043976,0.31814014,0.24093752,0.39791959,0.205422311,0.30120297,0.49024211,0.1693779,0.154145356,0.31117301,0.32141697,0.497385342,0.81504166,0.25806327,0.24490002,0.20350827,0.16014849,0.41874349,0.074911834,0.51219756,0.50444746,0.423864688,0.65392532,0.040460455,0.128161791,0.63908678,0.16687841,0.41074659,0.48139843,0.29703017,0.37357613,0.45249507,0.59216923,0.92040443,0.7430232,0.43616943,0.105948966,0.40408612,0.22440329,0.27967066,0.68260634,0.59432616,0.58704186,0.37143019,0.60902546,0.4812032,0.580495691,0.148089524,0.32643962,0.28282781,0.28555142,0.49786078,0.38479046,0.42964309,0.32543032,0.49993914,0.22314281,0.79049386,0.74935125,0.110105917,0.077148758,0.205748859,0.57583809,0.148204379
0.61216883,0.476552,0.25306797,0.3234252,0.151323946,0.24883993,0.40885484,0.15148036,0.117255627,0.27608203,0.27573553,0.2860291961,0.81956914,0.370739672,0.29748003,0.166502251,0.131586902,0.36970731,0.0520480523,0.69734955,0.47612665,0.277470572,0.81530292,0.034949025,0.1086591218,0.81046243,0.22729818,0.35814397,0.38391549,0.28989033,0.29101082,0.42454687,1.09461348,0.68568341,0.46987527,0.3699203,0.09851914,0.66824909,0.36321224,0.56651034,0.57523187,0.67668624,0.68750845,0.39461231,0.58815725,0.43760536,0.30141292,0.123543044,0.1729169388,0.26404617,0.24958784,0.46502851,0.4396597,0.3506983,0.28387362,0.96311826,0.34506779,0.637426438,0.6890549,0.08763308,0.060644638,0.13274163,0.62049562,0.153090661
0.60396929,0.32132169,0.22139567,0.35846084,0.258882699,0.248646843,0.5103028,0.1608133,0.140881223,0.360559042,0.32148927,0.407279141,0.87869134,0.387530369,0.23387877,0.189311814,0.157924904,0.416149982,0.0878676797,0.53602613,0.44678354,0.23137004,0.53197099,0.051152497,0.2075341584,0.66340826,0.312089716,0.310742011,0.38247316,0.28328683,0.30786462,0.530728144,0.62929194,0.76245989,0.567509462,0.34581822,0.160888684,0.44643028,0.25693521,0.53005739,0.63985982,0.61772226,0.85953349,0.30954175,0.65009119,0.362261094,0.47371099,0.172340273,0.39578483,0.29413532,0.280569394,0.45812859,0.39834026,0.36275962,0.317819581,0.56987014,0.29685141,0.888746587,0.72715369,0.09789475,0.081203653,0.168765189,0.57880032,0.237938081
0.64822893,0.33876612,0.24856404,0.3449021,0.388845591,0.24981929,0.66564108,0.18012532,0.169689473,0.34353448,0.33502019,0.4439145918,0.85132017,0.288883717,0.21435762,0.187730347,0.1907061,0.545162,0.0873331458,0.57422788,0.50974924,0.289910257,0.55927636,0.053051503,0.1954541994,0.68120005,0.19392556,0.30758183,0.41919788,0.30218682,0.34938739,0.61152172,0.64608765,0.95096167,0.48446561,0.36307302,0.300094758,0.4423447,0.24657929,0.3596443,0.64479546,0.54276661,0.90777779,0.3049934,0.433659116,0.39940937,0.37795177,0.192418618,0.3465160903,0.25797647,0.278169606,0.4068635,0.35629398,0.43799199,0.34660375,0.56555575,0.26925808,0.67929209,0.51505908,0.103996511,0.085819875,0.195891473,0.5340121,0.254461618
0.51263101,0.31511259,0.24719444,0.36030806,0.269920107,0.28357057,0.43377465,0.17106919,0.184922129,0.21359864,0.3226495,0.319634799,0.74800368,0.28244978,0.20967173,0.1516833,0.15670236,0.49097343,0.087296835,0.5749144,0.46079858,0.51359396,0.68571715,0.040899033,0.203164941,0.71179987,0.124144845,0.40578282,0.42285299,0.32587398,0.32514387,0.41629372,1.07683405,0.88520085,0.7629582,0.42116815,0.109600225,0.51441722,0.18862222,0.40428187,0.63932024,0.52580669,0.77570686,0.40277581,0.43088752,0.50699974,0.50753571,0.19605505,0.21595274,0.23989109,0.19366286,0.38104389,0.46396797,0.42475805,0.26188613,0.8783167,0.23683291,0.56193969,0.55803385,0.111616609,0.08849751,0.19399267,0.69455747,0.174730217
0.64635865,0.34671108,0.21824743,0.33190373,0.20252969,0.2351867,0.50308095,0.180410098,0.109922366,0.31410444,0.35046941,0.174897437,0.71683259,0.40295018,0.21283411,0.15777435,0.164266762,0.39649073,0.059604474,0.54459412,0.50041396,0.215614683,0.56885985,0.0440468681,0.1139858346,0.63849957,0.16880021,0.33279975,0.42976359,0.27988248,0.32372095,0.51370918,0.82703942,1.12360282,0.53872465,0.42303795,0.184274715,0.51228156,0.23208585,0.43646307,0.75571253,0.67680346,0.98227097,0.35984841,0.62238484,0.44911275,0.31963549,0.116704768,0.102857611,0.30678816,0.37343676,0.45730217,0.42384949,0.53596085,0.43799649,0.73622548,0.28031208,0.64170251,0.71692198,0.073760659,0.064290238,0.124178372,0.62929804,0.135871543
