Emoji_0,Emoji_1,Emoji_2,Emoji_3,Emoji_4,Emoji_5,Emoji_6,Emoji_7,Emoji_8,Emoji_9,Emoji_10,Emoji_11,Emoji_12,Emoji_13,Emoji_14,Emoji_15,Emoji_16,Emoji_17,Emoji_18,Emoji_19,Emoji_20,Emoji_21,Emoji_22,Emoji_23,Emoji_24,Emoji_25,Emoji_26,Emoji_27,Emoji_28,Emoji_29,Emoji_30,Emoji_31,Emoji_32,Emoji_33,Emoji_34,Emoji_35,Emoji_36,Emoji_37,Emoji_38,Emoji_39,Emoji_40,Emoji_41,Emoji_42,Emoji_43,Emoji_44,Emoji_45,Emoji_46,Emoji_47,Emoji_48,Emoji_49,Emoji_50,Emoji_51,Emoji_52,Emoji_53,Emoji_54,Emoji_55,Emoji_56,Emoji_57,Emoji_58,Emoji_59,Emoji_60,Emoji_61,Emoji_62,Emoji_63,x1,Emoji_0,Emoji_1,Emoji_2,Emoji_3,Emoji_4,Emoji_5,Emoji_6,Emoji_7,Emoji_8,Emoji_9,Emoji_10,Emoji_11,Emoji_12,Emoji_13,Emoji_14,Emoji_15,Emoji_16,Emoji_17,Emoji_18,Emoji_19,Emoji_20,Emoji_21,Emoji_22,Emoji_23,Emoji_24,Emoji_25,Emoji_26,Emoji_27,Emoji_28,Emoji_29,Emoji_30,Emoji_31,Emoji_32,Emoji_33,Emoji_34,Emoji_35,Emoji_36,Emoji_37,Emoji_38,Emoji_39,Emoji_40,Emoji_41,Emoji_42,Emoji_43,Emoji_44,Emoji_45,Emoji_46,Emoji_47,Emoji_48,Emoji_49,Emoji_50,Emoji_51,Emoji_52,Emoji_53,Emoji_54,Emoji_55,Emoji_56,Emoji_57,Emoji_58,Emoji_59
42,44,12,33,58,48,46,11,6,57,57,33,58,53,41,32,55,34,12,22,32,39,55,34,12,42,33,31,54,53,44,58,33,11,62,44,32,55,33,58,34,32,46,55,12,57,42,12,44,41,0,19,12,25,32,31,41,33,40,12,32,55,37,25,22,0,19,25,12,51,57,44,62,42,12,44,58,57,32,33,11,48,43,52,55,57,33,58,40,32,33,62,40,28,12,57,33,58,32,40,32,19,25,0,55,34,46,11,21,52,32,55,19,56,38,34,32,52,22,39,34,56,46,25,19
34,46,3,29,32,12,39,52,28,62,57,33,40,58,32,42,32,0,12,20,19,1,32,55,25,41,22,12,32,25,41,12,25,22,32,32,55,22,44,34,42,58,44,57,33,12,39,52,42,51,12,41,33,22,25,40,33,57,17,58,9,6,31,41,44,32,55,42,19,33,12,40,41,57,33,57,58,0,40,32,32,55,56,37,46,42,0,41,12,25,0,19,42,32,25,41,44,42,4,51,42,46,52,29,43,0,28,12,41,25,41,62,22,20,25,42,58,44,40,57,9,36,41,54,44
0,34,3,46,40,41,34,45,12,35,56,38,51,13,0,32,55,22,34,27,11,48,31,44,57,19,51,25,3,22,57,58,11,44,48,32,55,42,19,25,32,22,12,55,25,48,11,42,13,44,32,55,33,12,34,32,55,19,37,39,32,55,62,33,25,11,48,31,63,17,17,6,31,11,4,12,41,0,25,51,51,19,25,22,1,33,41,12,40,62,11,48,6,44,30,46,0,50,53,7,11,48,44,42,46,37,32,55,19,1,33,32,55,34,22,31,17,30,6,40,34,32,55,33,22
42,32,55,46,37,25,12,19,22,0,40,11,17,34,48,32,22,14,55,25,12,22,25,19,41,12,34,40,17,41,33,62,41,6,31,42,4,0,41,57,33,40,44,17,57,33,41,12,25,0,57,33,58,62,50,44,57,58,33,40,33,44,62,32,57,12,41,25,62,42,51,19,25,22,1,12,34,46,3,35,44,41,42,57,58,41,12,40,31,17,11,42,48,40,58,40,33,32,55,58,46,35,56,5,27,33,12,41,39,0,0,19,20,32,25,33,40,57,32,25,57,58,44,55,31
11,48,9,44,31,42,33,6,57,40,57,40,33,6,58,32,12,34,22,27,34,12,22,42,46,44,12,62,22,25,33,58,57,40,20,58,57,41,44,33,32,22,25,51,34,22,33,55,32,25,12,19,25,1,34,51,19,25,22,1,12,0,34,40,17,58,33,28,57,40,22,0,32,25,12,45,42,43,32,35,33,21,40,61,34,44,41,11,33,42,46,34,35,45,3,33,40,6,0,53,46,34,3,35,61,0,12,51,42,41,33,57,42,17,6,11,48,44,58,42,30,21,15,53,58
51,0,22,1,2,58,57,40,44,30,32,55,22,25,19,41,12,22,25,62,12,41,40,62,33,14,38,1,19,25,6,13,33,25,17,34,52,46,43,27,57,41,58,55,32,57,55,58,44,33,39,33,57,52,62,58,44,57,33,32,32,55,22,44,25,11,30,32,55,48,42,11,31,12,44,32,55,22,25,39,55,32,37,43,38,12,34,0,17,3,40,11,17,34,48,44,32,55,22,37,39,12,25,22,52,55,32,37,19,0,32,37,55,56,58,26,6,40,57,17,13,44,51,40,57
12,39,25,22,62,39,51,13,38,56,34,46,33,35,27,12,62,52,25,20,46,34,3,35,27,11,48,63,6,33,32,33,55,40,37,58,57,24,11,33,44,32,22,62,33,42,57,31,20,44,57,41,13,58,44,0,22,25,40,12,12,33,0,25,28,42,44,58,33,13,57,31,33,58,17,24,47,4,41,46,26,33,9,31,40,12,25,42,32,55,0,41,40,58,6,48,57,42,44,11,39,12,40,33,0,57,34,32,55,58,42,32,55,37,19,44,41,9,4,12,0,51,39,25,19
32,55,28,19,25,33,17,57,6,63,0,33,32,55,62,42,12,34,46,45,36,11,48,39,42,57,55,58,32,0,22,25,32,55,19,42,57,6,33,13,25,19,12,22,0,24,57,47,33,42,4,33,40,6,17,33,31,40,17,63,46,25,42,22,19,33,31,6,44,62,11,48,32,42,55,57,33,40,58,17,41,33,40,9,50,12,25,0,20,51,46,12,34,45,42,32,55,12,33,0,42,12,31,33,57,56,55,11,32,19,42,57,6,33,13,25,0,34,22,19,31,48,30,11,6
22,25,12,32,62,32,33,55,44,21,42,32,13,12,37,0,51,17,30,31,34,46,22,25,0,32,55,39,33,19,40,57,58,33,17,32,55,58,37,22,33,40,57,17,58,33,25,12,19,22,34,30,4,6,33,42,44,57,33,58,34,46,35,45,27,32,55,22,37,62,51,20,34,33,3,4,24,47,33,6,12,22,25,32,33,55,32,42,44,37,39,42,12,0,19,42,46,58,34,55,62,43,29,52,41,6,25,33,22,19,42,12,62,39,28,21,11,48,57,17,4,33,17,11,6
40,33,44,57,41,42,45,34,35,43,44,40,57,17,6,32,55,58,37,19,0,25,12,22,42,12,25,58,42,57,32,55,33,12,58,19,39,1,25,22,33,40,32,53,0,33,50,40,58,53,41,42,33,51,0,32,33,55,22,25,42,32,55,44,41,42,32,55,58,33,34,46,35,3,45,31,33,57,58,44,32,55,22,44,33,55,32,44,37,54,13,56,57,38,41,33,6,17,4,40,42,57,51,52,20,33,40,58,53,41,33,41,53,31,40,44,12,51,52,62,12,57,53,40,33
